parkID	NAME	Year	Capacity	Surface	Area_Fair	Cover	LF_Dim	SLF_Dim	LFA_Dim	LC_Dim	LCC_Dim	CF_Dim	RCC_Dim	RC_Dim	RFA_Dim	SRF_Dim	RF_Dim	Backstop	Foul	LF_W	LC_W	CF_W	RC_W	RF_W	Comments
NYC16	Yankee Stadium	2006	57545	N	113	O	318			392	399	408		385		353	314	84	M	8	7	7	9	10	
NYC17	Shea Stadium	2006	57369	N	113	O	338			378		410		378			338	48	S	8	8	8	8	8	
OAK01	McAfee Coliseum	2006	34007	N	108	O	330	367	362	388		400		388	362	367	330	60	L	8	15	8	15	8	
PHI13	Citizens Bank Park	2006	43500	N		O	329		361	385	409	401	398	381	357		330	50	M	10	11	6	13	13	
PHO01	Chase Field	2006	49033	N	113	R	328		376		412	407	414		376		335	55	S	8	8	25	8	8	
PIT08	PNC Park	2006	38496	N		O	325	362		389	410	399		375		350	320	51	S	6	10	10	10	21	
SAN02	PetCo Park	2006	42445	N		O	336	357	377	402		396		400	394	376	322	45	S	8	8	8	10	8	
SEA03	Safeco Field	2006	47447	N		R	331	357	373	388		405		385	357	340	326	55	M	8	8	8	8	8	
SFO03	AT&T Park	2006	41606	N		O	339		364	378	404	399	421		365		309	48	M	8	11	8	25	25	
STL10	Busch Stadium III	2006	46864	N		O	335	362	381	396		400		396	381	362	335	52	M	8	8	8	8	8	
STP01	Tropicana Field	2006	41315	A	105	D	315		360		410	404	404		360		322	50	S	11	11	9	11	11	
TOR02	Rogers Centre	2006	50598	A	108	R	328	355	375	390		400		390	375	355	328	60	M	10	10	10	10	10	
WAS10	Robert F. Kennedy Stadium	2006	46500	N		O	335			381		408		380			335	60	A	7		7		7	
ANA01	Angel Stadium of Anaheim	2005	45037	N	110	O	330	371	381	387		400		375	365	363	330	60	M	8	8	8	8	18	
ARL02	Ameriquest Field	2005	49115	N	113	O	332	354	390	397	404	400	407	388	381	349	326	60	S	14	8	8	8	8	
ATL02	Turner Field	2005	50091	N	115	O	335			380		401		390			330	60	L	8	8	8	8	8	
BAL12	Oriole Park at Camden Yards	2005	48290	N	106	O	333			364	410	400	386	373			318	57	M	7	7	7	7	25	
BOS07	Fenway Park	2005	35095	N	99	O	305			379	388	390	420	383	380		302	60	S	37	18	9	5	3	
CHI11	Wrigley Field	2005	39538	N	108	O	355	357		363		400		381		363	353	61	S	16	11	11	11	16	
CHI12	US Cellular Field	2005	40615	N	110	O	330	352		377		400		372		352	335	60	M	8	8	8	8	8	
CIN09	Great American Ballpark	2005	42271	N		O	328		379			404			370		325	51	S	12	12	8	8	8	
CLE08	Jacobs Field	2005	43405	N	106	O	325			370	410	405		375			325	65	S	19	19	9	9	14	
DEN02	Coors Field	2005	50449	N	117	O	347			390	420	415	424	375		358	350	50	M	8	8	8	8	14	
DET05	Comerica Park	2005	40120	N		O	345		370	398		420		403	356		330	52	S	7	9	8	12	8	
HOU03	Minute Maid Park	2005	42180	N		R	315		362	390		435	436	397	373		326	49	S	21	25	9	9	7	
KAN06	Kauffman Stadium	2005	40785	N		O	330		385			410			385		330	50	S	8	8	8	8	8	
LOS03	Dodger Stadium	2005	56000	N	113	O	330		370	385		400		385	370		330	57	S	4	8	8	8	4	
MIA01	Dolphins Stadium	2005	36331	N	115	O	330		385		434	404		385			345	60	L	8	33	8	8	8	
MIL06	Miller Park	2005	41900	N		R	344	363	371	382		400		383	371	355	345	56	S	8	8	8	8	6	
MIN03	Hubert H. Humphrey Metrodome	2005	46564	A		D	343		384	394		408		376	367		327	60	S	7	7	7	23	23	
NYC16	Yankee Stadium	2005	57545	N	113	O	318			392	399	408		385		353	314	84	M	8	7	7	9	10	
NYC17	Shea Stadium	2005	57369	N	113	O	338			378		410		378			338	48	S	8	8	8	8	8	
OAK01	McAfee Coliseum	2005	43662	N	108	O	330	367	362	388		400		388	362	367	330	60	L	8	15	8	15	8	
PHI13	Citizens Bank Park	2005	43500	N		O	329		356	380	409	401	398	381	357		330	50	M	8	8	6	13	13	
PHO01	Bank One Ballpark	2005	49033	N	113	R	328		376		412	407	414		376		335	55	S	8	8	25	8	8	
PIT08	PNC Park	2005	38496	N		O	325	362		389	410	399		375		350	320	51	S	6	10	10	10	21	
SAN02	PetCo Park	2005	42445	N		O	336	357	377	402		396		411	394	376	322	45	S	8	8	8	10	8	
SEA03	Safeco Field	2005	47447	N		R	331	357	373	388		405		385	357	340	326	55	M	8	8	8	8	8	
SFO03	SBC Park	2005	41584	N		O	339		364	378	404	399	421		365		309	48	M	8	11	8	25	25	
STL09	Busch Stadium II	2005	49738	N	110	O	330			372		402		372			330	64	L	8		8		8	
STP01	Tropicana Field	2005	41315	A	105	D	315		360		410	404	404		360		322	50	S	11	11	9	11	11	
TOR02	Rogers Centre	2005	50598	A	108	R	328	355	375	390		400		390	375	355	328	60	M	10	10	10	10	10	
WAS10	Robert F. Kennedy Stadium	2005	46500	N		O	335			381		408		380			335	60	A	7		7		7	
